"familia","sector","estado","provincia","num_cer","total_horas","total_cursos","total_ganacias","dia","mes","anio","volumen_capacitados","prediction(volumen_capacitados)"
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","pichincha",13.0,78.0,1.0,3250.0,10.0,9.0,2019.0,13.0,13.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","pichincha",44.0,264.0,1.0,11000.0,21.0,5.0,2019.0,44.0,44.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","pichincha",3.0,18.0,1.0,750.0,28.0,12.0,2019.0,3.0,3.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","pichincha",1.0,6.0,1.0,250.0,2.0,10.0,2018.0,1.0,1.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","pichincha",8.0,48.0,2.0,2000.0,30.0,7.0,2019.0,14.0,12.36500754147813
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","pichincha",10.0,60.0,1.0,2500.0,2.0,4.0,2019.0,10.0,10.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","pichincha",37.0,222.0,1.0,9250.0,27.0,6.0,2019.0,37.0,37.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","pichincha",1.0,6.0,1.0,250.0,8.0,8.0,2019.0,1.0,1.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","pichincha",20.0,120.0,1.0,5000.0,12.0,6.0,2019.0,20.0,20.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","pichincha",3.0,18.0,1.0,750.0,1.0,6.0,2018.0,3.0,3.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","pichincha",6.0,36.0,1.0,1500.0,8.0,6.0,2018.0,6.0,6.0
"turismo y alimentación","elaboración de productos alimenticios","habilitado","chimborazo",20.0,120.0,1.0,5000.0,11.0,3.0,2020.0,20.0,20.0
"turismo y alimentación","elaboración de productos alimenticios","habilitado","chimborazo",6.0,36.0,1.0,1500.0,15.0,10.0,2020.0,6.0,6.0
"turismo y alimentación","elaboración de productos alimenticios","habilitado","chimborazo",14.0,84.0,1.0,3500.0,14.0,3.0,2019.0,14.0,14.0
"turismo y alimentación","elaboración de productos alimenticios","habilitado","chimborazo",1.0,6.0,1.0,250.0,19.0,12.0,2018.0,1.0,1.0
"turismo y alimentación","elaboración de productos alimenticios","habilitado","chimborazo",1.0,6.0,1.0,250.0,14.0,10.0,2020.0,1.0,1.0
"turismo y alimentación","elaboración de productos alimenticios","habilitado","chimborazo",1.0,6.0,1.0,250.0,9.0,6.0,2018.0,1.0,1.0
"turismo y alimentación","elaboración de productos alimenticios","habilitado","chimborazo",1.0,6.0,2.0,250.0,18.0,9.0,2018.0,29.0,6.506150061500615
"turismo y alimentación","elaboración de productos alimenticios","habilitado","chimborazo",1.0,6.0,1.0,250.0,25.0,7.0,2018.0,1.0,1.0
"turismo y alimentación","elaboración de productos alimenticios","habilitado","chimborazo",1.0,6.0,1.0,250.0,8.0,6.0,2018.0,1.0,1.0
"turismo y alimentación","elaboración de productos alimenticios","habilitado","chimborazo",6.0,36.0,1.0,1500.0,27.0,7.0,2018.0,6.0,6.0
"turismo y alimentación","elaboración de productos alimenticios","habilitado","chimborazo",1.0,6.0,1.0,250.0,2.0,8.0,2018.0,1.0,1.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayas",23.0,138.0,1.0,5750.0,29.0,8.0,2019.0,23.0,23.0
"actividades tipo servicios","actividades especializadas de la construcción","habilitado","guayas",14.0,84.0,1.0,3500.0,28.0,2.0,2019.0,14.0,14.0
"actividades tipo servicios","actividades especializadas de la construcción","habilitado","guayas",8.0,48.0,1.0,2000.0,19.0,3.0,2019.0,8.0,8.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayas",24.0,144.0,1.0,6000.0,5.0,9.0,2019.0,24.0,24.0
"actividades tipo servicios","actividades especializadas de la construcción","habilitado","guayas",9.0,54.0,2.0,2250.0,26.0,2.0,2019.0,11.0,12.36500754147813
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayas",2.0,12.0,2.0,500.0,26.0,2.0,2019.0,11.0,6.506150061500615
"actividades tipo servicios","actividades especializadas de la construcción","habilitado","guayas",1.0,6.0,1.0,250.0,7.0,2.0,2019.0,1.0,1.0
"actividades tipo servicios","actividades especializadas de la construcción","habilitado","guayas",27.0,162.0,1.0,6750.0,11.0,2.0,2019.0,27.0,27.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayas",2.0,12.0,1.0,500.0,6.0,12.0,2019.0,2.0,2.0
"turismo y alimentación","elaboración de productos alimenticios","habilitado","guayas",26.0,156.0,1.0,6500.0,2.0,2.0,2019.0,26.0,26.0
"actividades tipo servicios","actividades especializadas de la construcción","habilitado","pastaza",2.0,12.0,1.0,500.0,13.0,5.0,2019.0,2.0,2.0
"actividades de enseñanza","enseñanza","habilitado","pastaza",13.0,78.0,1.0,3250.0,5.0,9.0,2019.0,13.0,13.0
"actividades de enseñanza","enseñanza","habilitado","pastaza",8.0,48.0,2.0,2000.0,25.0,11.0,2016.0,13.0,12.36500754147813
"actividades de enseñanza","enseñanza","habilitado","pastaza",16.0,96.0,2.0,4000.0,3.0,12.0,2016.0,19.0,16.0
