"familia","sector","estado","canton","provincia","total_cursos","volumen_capacitados","dia","mes","anio","num_cer","prediction(num_cer)"
"pesca, acuacultura y maricultura","pesca y acuicultura","habilitado","manta","manabi",1.0,1.0,27.0,3.0,2018.0,1.0,1.0
"actividades de enseñanza","enseñanza","habilitado","manta","manabi",1.0,2.0,14.0,12.0,2018.0,2.0,2.0
"pesca, acuacultura y maricultura","pesca y acuicultura","habilitado","manta","manabi",2.0,2.0,5.0,10.0,2018.0,1.0,1.0
"pesca, acuacultura y maricultura","pesca y acuicultura","habilitado","manta","manabi",1.0,84.0,19.0,9.0,2018.0,84.0,82.25
"pesca, acuacultura y maricultura","pesca y acuicultura","habilitado","manta","manabi",1.0,16.0,21.0,8.0,2018.0,16.0,16.0
"pesca, acuacultura y maricultura","pesca y acuicultura","habilitado","manta","manabi",1.0,28.0,25.0,7.0,2018.0,28.0,28.0
"pesca, acuacultura y maricultura","pesca y acuicultura","habilitado","manta","manabi",1.0,42.0,23.0,3.0,2018.0,42.0,42.0
"pesca, acuacultura y maricultura","pesca y acuicultura","habilitado","manta","manabi",1.0,44.0,24.0,4.0,2018.0,44.0,44.0
"pesca, acuacultura y maricultura","pesca y acuicultura","habilitado","manta","manabi",1.0,9.0,28.0,9.0,2018.0,9.0,9.0
"pesca, acuacultura y maricultura","pesca y acuicultura","habilitado","manta","manabi",1.0,18.0,6.0,2.0,2018.0,18.0,18.0
"pesca, acuacultura y maricultura","pesca y acuicultura","habilitado","manta","manabi",1.0,33.0,1.0,6.0,2018.0,33.0,33.0
"pesca, acuacultura y maricultura","pesca y acuicultura","habilitado","manta","manabi",1.0,13.0,8.0,8.0,2018.0,13.0,13.0
"pesca, acuacultura y maricultura","pesca y acuicultura","habilitado","manta","manabi",1.0,57.0,26.0,9.0,2018.0,57.0,57.0
"turismo y alimentación","elaboración de productos alimenticios","habilitado","manta","manabi",2.0,11.0,16.0,7.0,2018.0,9.0,5.761627906976744
"turismo y alimentación","elaboración de productos alimenticios","habilitado","manta","manabi",2.0,11.0,16.0,7.0,2018.0,2.0,5.761627906976744
"turismo y alimentación","servicio de alimento y bebida","habilitado","manta","manabi",2.0,5.0,6.0,12.0,2018.0,1.0,2.6473684210526316
"turismo y alimentación","actividades de alojamiento","habilitado","manta","manabi",2.0,5.0,6.0,12.0,2018.0,4.0,2.6473684210526316
"pesca, acuacultura y maricultura","pesca y acuicultura","habilitado","manta","manabi",1.0,40.0,31.0,10.0,2018.0,40.0,40.0
"pesca, acuacultura y maricultura","pesca y acuicultura","habilitado","manta","manabi",1.0,77.0,18.0,10.0,2018.0,77.0,77.0
"pesca, acuacultura y maricultura","pesca y acuicultura","habilitado","manta","manabi",1.0,28.0,18.0,5.0,2018.0,28.0,28.0
"pesca, acuacultura y maricultura","pesca y acuicultura","habilitado","manta","manabi",1.0,19.0,26.0,10.0,2018.0,19.0,19.0
