id_fact_oec_rs,id_razon_social,id_fecha,volumen_cer,volumen_horas,volumen_ganancias,volumen_porcentaje_asistencia,total_perfiles,fecha,dia,mes,anio,razon_social,estado,tipo_razon_social,fecha_resolucion,canton,provincia
6172,2176,403,1.0,6.0,250.0,0.0795544948289578,1,06-07-2021,6,7,2021,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6180,2176,500,1.0,6.0,250.0,0.0795544948289578,1,07-12-2021,7,12,2021,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6156,2176,195,1.0,6.0,250.0,0.0795544948289578,1,03-09-2021,3,9,2021,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6187,2176,655,1.0,6.0,250.0,0.0795544948289578,1,10-03-2020,10,3,2020,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6211,2176,1005,1.0,6.0,250.0,0.0795544948289578,1,15-03-2021,15,3,2021,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6210,2176,1000,1.0,6.0,250.0,0.0795544948289578,1,15-02-2022,15,2,2022,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6237,2176,1471,17.0,102.0,4250.0,1.352426412092283,3,21-10-2019,21,10,2019,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6153,2176,172,1.0,6.0,250.0,0.0795544948289578,1,03-05-2021,3,5,2021,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6168,2176,367,1.0,6.0,250.0,0.0795544948289578,1,06-01-2022,6,1,2022,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6169,2176,386,2.0,12.0,500.0,0.1591089896579156,1,06-04-2022,6,4,2022,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6179,2176,487,3.0,18.0,750.0,0.2386634844868735,1,07-10-2021,7,10,2021,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6183,2176,562,1.0,6.0,250.0,0.0795544948289578,1,08-11-2021,8,11,2021,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6185,2176,597,1.0,6.0,250.0,0.0795544948289578,1,09-05-2022,9,5,2022,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6191,2176,738,2.0,12.0,500.0,0.1591089896579156,1,11-05-2022,11,5,2022,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6202,2176,879,1.0,6.0,250.0,0.0795544948289578,1,13-04-2022,13,4,2022,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6277,2176,2056,1.0,6.0,250.0,0.0795544948289578,1,30-03-2021,30,3,2021,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6272,2176,1985,2.0,12.0,500.0,0.1591089896579156,2,29-01-2021,29,1,2021,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6281,2176,2090,1.0,6.0,250.0,0.0795544948289578,1,30-09-2021,30,9,2021,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6146,2176,59,1.0,6.0,250.0,0.0795544948289578,1,01-10-2020,1,10,2020,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6171,2176,402,1.0,6.0,250.0,0.0795544948289578,1,06-07-2020,6,7,2020,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6201,2176,873,3.0,18.0,750.0,0.2386634844868735,3,13-03-2021,13,3,2021,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6206,2176,945,2.0,12.0,500.0,0.1591089896579156,2,14-04-2022,14,4,2022,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6207,2176,958,1.0,6.0,250.0,0.0795544948289578,1,14-07-2020,14,7,2020,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6222,2176,1249,1.0,6.0,250.0,0.0795544948289578,1,18-09-2021,18,9,2021,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6233,2176,1426,1.0,6.0,250.0,0.0795544948289578,1,21-02-2022,21,2,2022,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6264,2176,1860,3.0,18.0,750.0,0.2386634844868735,2,27-04-2021,27,4,2021,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6200,2176,867,1.0,6.0,250.0,0.0795544948289578,1,13-02-2021,13,2,2021,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6260,2176,1842,1.0,6.0,250.0,0.0795544948289578,1,27-01-2021,27,1,2021,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6271,2176,1934,1.0,6.0,250.0,0.0795544948289578,1,28-05-2021,28,5,2021,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6284,2176,2104,6.0,36.0,1500.0,0.477326968973747,2,30-12-2019,30,12,2019,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6193,2176,805,3.0,18.0,750.0,0.2386634844868735,2,12-04-2021,12,4,2021,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6149,2176,90,1.0,6.0,250.0,0.0795544948289578,1,02-03-2021,2,3,2021,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6155,2176,188,3.0,18.0,750.0,0.2386634844868735,1,03-08-2020,3,8,2020,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6165,2176,335,1.0,6.0,250.0,0.0795544948289578,1,05-08-2020,5,8,2020,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6225,2176,1294,4.0,24.0,1000.0,0.3182179793158313,1,19-05-2021,19,5,2021,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6261,2176,1843,1.0,6.0,250.0,0.0795544948289578,1,27-01-2022,27,1,2022,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6263,2176,1855,1.0,6.0,250.0,0.0795544948289578,1,27-03-2021,27,3,2021,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
