id_oc,id_curso_perfil,id_fecha,num_cap_cer,total_cursos,volumen_capacitados,total_horas,total_ganancias
233,2512,2,36,38,1280,864,8354.880000000001
233,2478,2,10,38,1280,200,
233,2504,2,10,38,1280,200,
233,2519,2,9,38,1280,360,
233,2520,2,9,38,1280,360,
233,2515,2,6,38,1280,144,576.0
233,2475,2,6,38,1280,120,
233,2501,2,6,38,1280,120,
233,2516,2,6,38,1280,96,
233,2518,2,6,38,1280,96,
233,2464,2,8,38,1280,160,2174.4
233,2484,2,8,38,1280,160,640.0
233,2439,2,28,38,1280,840,11415.6
233,2439,3,11,8,318,330,4484.7
233,2454,2,28,38,1280,840,1890.0
233,2454,3,11,8,318,330,742.5
233,2441,2,35,38,1280,1400,19026.0
233,2441,3,10,8,318,400,5436.0
233,2453,2,35,38,1280,1400,8526.0
233,2453,3,10,8,318,400,2436.0
233,2457,2,22,38,1280,440,7972.799999999999
233,2463,2,22,38,1280,440,7972.799999999999
233,2456,2,116,38,1280,2320,34220.0
233,2462,2,116,38,1280,2320,34220.0
233,2480,2,13,38,1280,208,
233,2505,2,13,38,1280,208,
233,2444,2,24,38,1280,960,
233,2444,3,12,8,318,480,
233,2448,2,56,38,1280,2240,
233,2476,2,10,38,1280,200,
233,2502,2,10,38,1280,200,
233,2482,2,16,38,1280,320,3360.0
233,2496,2,16,38,1280,320,1280.0
233,2487,2,24,38,1280,480,4641.6
233,2455,2,108,38,1280,2160,29354.4
233,2461,2,108,38,1280,2160,8640.0
233,2460,2,51,38,1280,2040,4590.0
233,2460,3,76,8,318,3040,6840.0
233,2514,2,20,38,1280,800,
233,2491,2,2,38,1280,40,160.0
233,2489,2,30,38,1280,600,2400.0
48,509,2,8,5,50,320,3865.6
48,509,3,10,5,86,400,4832.0
48,510,2,8,5,50,320,3865.6
48,510,3,10,5,86,400,4832.0
48,511,2,8,5,50,320,3865.6
48,511,3,10,5,86,400,4832.0
48,530,2,5,5,50,200,
48,531,2,5,5,50,200,
48,532,2,5,5,50,200,
48,514,2,6,5,50,240,2320.8
48,514,3,12,5,86,480,4641.6
48,545,2,6,5,50,720,6962.400000000001
48,545,3,12,5,86,1440,13924.800000000001
48,540,2,30,5,50,1200,
48,540,3,17,5,86,680,
332,3125,2,1,2,2,18,
332,3125,4,1,2,2,18,
332,3125,0,133,54,1783,2394,
332,3125,3,155,27,1271,2790,
332,3125,1,199,39,2842,3582,
178,1811,2,9,2,14,720,
178,1812,2,5,2,14,600,
415,3954,2,33,3,216,660,
415,3967,2,148,3,216,59200,
415,3968,2,35,3,216,7000,
210,2260,2,126,2,223,21420,
210,2260,3,36,2,77,6120,
210,2261,2,97,2,223,16490,
210,2261,3,41,2,77,6970,
362,3418,2,284,25,2940,22720,
362,3419,2,4,25,2940,128,
362,3420,2,59,25,2940,4720,
54,602,2,114,2,124,4560,
54,599,2,10,2,124,400,
30,346,2,8,5,17,4000,
30,347,2,6,5,17,3000,
30,351,2,1,5,17,360,
30,353,2,1,5,17,360,
30,353,3,5,8,51,1800,
174,1759,2,20,5,161,480,
174,1770,2,20,5,161,480,
174,1772,2,64,5,161,1536,
174,1771,2,20,5,161,440,
27,326,2,16,11,190,256,
27,316,2,15,11,190,120,
27,329,2,46,11,190,736,
27,321,2,6,11,190,48,
27,314,2,4,11,190,48,
27,314,3,8,12,116,96,
27,324,2,24,11,190,312,
27,324,3,8,12,116,104,
27,320,2,12,11,190,96,
27,318,2,23,11,190,368,
27,318,3,4,12,116,64,
27,319,2,3,11,190,48,
361,3373,2,19,10,385,418,
361,3415,2,19,10,385,380,
361,3350,2,9,10,385,180,
361,3350,0,8,17,840,160,
361,3351,2,7,10,385,140,
361,3416,2,21,10,385,462,
361,3416,0,19,17,840,418,
