"estado","canton","provincia","id_fact_oec_rs","id_razon_social","id_fecha","volumen_porcentaje_asistencia","volumen_horas","fecha","razon_social","tipo_razon_social","fecha_resolucion","volumen_cer","volumen_ganancias","total_perfiles","dia","mes","anio","prediction(volumen_horas)"
"habilitado","guayaquil","guayas",2435.0,13.0,1385.0,0.0,24.0,"20-09-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",4.0,1000.0,1.0,20.0,9.0,2019.0,24.0
"habilitado","guayaquil","guayas",2436.0,13.0,1404.0,0.0,12.0,"20-12-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",2.0,500.0,1.0,20.0,12.0,2019.0,12.0
"habilitado","guayaquil","guayas",2437.0,13.0,1451.0,0.0,66.0,"21-08-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",11.0,2750.0,1.0,21.0,8.0,2019.0,66.0
"habilitado","guayaquil","guayas",2440.0,13.0,1516.0,0.0,30.0,"22-07-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",5.0,1250.0,1.0,22.0,7.0,2019.0,30.0
"habilitado","guayaquil","guayas",2441.0,13.0,1524.0,0.0,90.0,"22-08-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",15.0,3750.0,1.0,22.0,8.0,2019.0,90.0
"habilitado","guayaquil","guayas",2445.0,13.0,1601.0,0.0,252.0,"23-09-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",42.0,10500.0,1.0,23.0,9.0,2019.0,252.0
"habilitado","guayaquil","guayas",2450.0,13.0,1803.0,0.0,12.0,"26-08-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",2.0,500.0,1.0,26.0,8.0,2019.0,12.0
"habilitado","guayaquil","guayas",2452.0,13.0,1873.0,0.0,6.0,"27-08-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",1.0,250.0,1.0,27.0,8.0,2019.0,6.0
"habilitado","guayaquil","guayas",2454.0,13.0,2003.0,0.0,12.0,"29-07-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",2.0,500.0,1.0,29.0,7.0,2019.0,12.0
"habilitado","guayaquil","guayas",2405.0,13.0,36.0,0.0,54.0,"01-08-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",9.0,2250.0,1.0,1.0,8.0,2019.0,54.0
"habilitado","guayaquil","guayas",2408.0,13.0,138.0,0.0,6.0,"03-01-2020","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",1.0,250.0,1.0,3.0,1.0,2020.0,6.0
"habilitado","guayaquil","guayas",2409.0,13.0,205.0,0.0,168.0,"03-12-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",28.0,7000.0,1.0,3.0,12.0,2019.0,168.0
"habilitado","guayaquil","guayas",2421.0,13.0,699.0,0.0,6.0,"10-12-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",1.0,250.0,1.0,10.0,12.0,2019.0,6.0
"habilitado","guayaquil","guayas",2425.0,13.0,915.0,0.0,30.0,"13-12-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",5.0,1250.0,1.0,13.0,12.0,2019.0,30.0
"habilitado","guayaquil","guayas",2434.0,13.0,1258.0,0.0,570.0,"18-12-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",95.0,23750.0,1.0,18.0,12.0,2019.0,570.0
"habilitado","guayaquil","guayas",2443.0,13.0,1542.0,0.0,180.0,"22-11-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",30.0,7500.0,1.0,22.0,11.0,2019.0,180.0
"habilitado","guayaquil","guayas",2444.0,13.0,1594.0,0.0,6.0,"23-08-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",1.0,250.0,1.0,23.0,8.0,2019.0,6.0
"habilitado","guayaquil","guayas",2447.0,13.0,1686.0,0.0,258.0,"24-12-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",43.0,10750.0,1.0,24.0,12.0,2019.0,258.0
"habilitado","guayaquil","guayas",2457.0,13.0,2080.0,0.0,78.0,"30-09-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",13.0,3250.0,1.0,30.0,9.0,2019.0,78.0
