id_fact_ci_rs,id_razon_social,id_fecha,volumen_cap,volumen_horas,volumen_ganancias,total_cursos
312,1958,6,31.0,592.0,2004.3199999999997,3
313,1960,6,240.0,9552.0,40416.16,2
314,1961,6,20.0,800.0,2284.0,2
315,197,6,76.0,3040.0,20902.653968253955,2
316,1980,5,164.0,6248.0,14156.0,4
317,1984,5,28.0,1120.0,5600.0,1
318,1989,6,94.0,3664.0,15829.92,2
319,1995,7,23.0,920.0,2585.2000000000003,1
320,1999,5,9.0,360.0,1080.0,1
321,20,5,94.0,3712.0,10750.08,5
322,2000,6,5.0,200.0,350.0,1
323,2003,5,614.0,19472.0,108444.72,3
324,2004,6,65.0,2600.0,10946.0,1
325,2005,5,294.0,4512.0,49533.119999999995,6
326,2013,6,7.0,280.0,280.0,1
327,2018,6,24.0,384.0,2640.3352380952365,1
328,2019,6,328.0,13120.0,37921.6,2
329,2023,6,13.0,496.0,950.0139682539682,2
330,2024,6,189.0,7448.0,50679.63555555553,2
331,2027,5,12.0,288.0,1920.9599999999998,1
332,2031,6,167.0,6680.0,11422.800000000001,1
333,2034,6,90.0,1440.0,10065.6,1
334,2035,6,96.0,3840.0,4300.8,1
335,2036,7,135.0,5400.0,37129.71428571426,1
336,2038,7,9.0,360.0,676.8,1
337,204,7,1.0,16.0,140.0,1
338,2040,6,405.0,16200.0,72900.0,1
339,2041,6,10.0,160.0,1272.1879365079365,2
340,2042,6,3.0,112.0,340.0279365079364,3
341,2045,6,1.0,40.0,44.800000000000004,1
342,2047,6,7.0,56.0,1179.36,1
343,2049,5,4433.0,141472.0,746630.56,6
344,2051,6,123.0,984.0,6765.859047619044,1
345,2052,6,31.0,992.0,5227.839999999999,1
346,2053,6,55.0,1896.0,1081.28,2
347,2054,6,124.0,4664.0,19433.68,2
348,2056,6,46.0,976.0,4905.188571428571,2
349,2058,6,32.0,768.0,2818.56,1
350,2066,6,42.0,336.0,1136.96,2
351,2069,6,186.0,7440.0,31322.4,1
352,2073,6,57.0,488.0,3347.3599999999997,2
353,2075,6,35.0,1192.0,5058.879999999999,4
354,2100,6,126.0,2352.0,7778.986666666664,3
355,2102,6,858.0,31560.0,146329.2,3
356,2103,6,4912.0,112896.0,746655.84,9
357,2104,5,1.0,8.0,60.0,1
358,2108,7,24.0,960.0,4041.6000000000004,1
359,211,7,3.0,96.0,415.68,1
360,2110,5,28.0,448.0,4717.44,1
361,2113,7,60.0,2400.0,10966.152380952375,2
362,2115,6,4.0,160.0,300.79999999999995,1
363,2116,6,69.0,2760.0,5014.0,3
364,2118,6,4.0,160.0,240.0,1
365,2119,6,39.0,800.0,8391.6,5
366,2121,6,450.0,7296.0,129723.52,2
367,2124,7,3.0,72.0,787.12,3
368,2125,7,345.0,13760.0,20760.0,3
369,2126,6,4.0,160.0,280.0,1
370,2127,6,542.0,13008.0,89441.35619047613,1
371,2128,5,182.0,7280.0,20311.2,3
372,2129,7,5.0,192.0,340.15999999999997,2
373,2131,5,1054.0,42160.0,103290.0,3
374,2133,6,110.0,4400.0,15020.0,3
375,2135,7,7.0,280.0,420.0,1
376,2137,6,2.0,32.0,220.02793650793637,1
377,2139,6,41.0,328.0,6907.679999999999,1
378,2140,7,183.0,4392.0,20466.72,1
379,2141,7,32.0,256.0,5391.36,1
380,2148,7,24.0,960.0,7680.0,1
381,2150,6,1.0,40.0,168.4,1
382,2151,6,2.0,80.0,640.0,1
383,2152,7,1.0,8.0,55.006984126984094,1
384,2153,6,58.0,2320.0,4440.279365079364,2
385,2156,6,40.0,1600.0,7056.0,1
386,2160,6,17.0,680.0,5440.0,1
387,2166,7,12.0,288.0,1499.499682539682,2
388,217,6,4.0,32.0,220.02793650793637,1
389,2171,7,2.0,80.0,46.4,1
390,2175,7,1146.0,21384.0,180279.65714285706,6
391,2180,5,41.0,1312.0,14786.24,1
392,2181,6,88.0,3520.0,6160.0,1
393,2185,6,20.0,800.0,2232.0,1
394,2187,7,1.0,40.0,70.0,1
395,2192,6,785.0,28216.0,105058.88,2
396,2195,5,150.0,6000.0,25735.600000000002,3
397,2196,6,112.0,4480.0,30803.91111111109,1
398,2198,6,1.0,16.0,392.0,1
399,2201,6,10.0,384.0,920.0558730158727,2
400,2206,6,39.0,504.0,2175.230476190475,2
401,2210,5,665.0,25944.0,127129.92000000001,3
