id_fact_oc_cp,id_razon_social,id_curso_perfil,id_fecha,num_cap_cer,total_horas,total_ganancias,porcentaje_asistencia
1289,539,993,7,16.0,320.0,8460.800000000001,0.0
1290,539,994,7,16.0,320.0,12176.0,0.0
1291,539,977,7,1.0,40.0,275.03492063492047,0.0
1292,539,978,7,1.0,40.0,550.0,0.0
1293,539,1025,7,2.0,80.0,533.6,0.0
1294,539,1026,7,2.0,80.0,666.4,0.0
1295,539,1003,7,5.0,100.0,2644.0000000000005,0.0
1296,539,1004,7,5.0,100.0,3805.0,0.0
1297,539,999,7,7.0,280.0,730.8,0.0
1298,539,1000,7,7.0,280.0,3245.2000000000003,0.0
1299,539,1005,7,4.0,96.0,2114.88,0.0
1300,539,1006,7,4.0,96.0,3044.16,0.0
1301,539,997,7,11.0,220.0,770.0,0.0
1302,539,998,7,11.0,220.0,2310.0,0.0
1303,558,3049,7,15.0,360.0,5101.2,0.0
1304,558,3060,7,46.0,552.0,35007.84,0.0
1305,558,3087,7,46.0,552.0,1380.0,0.0
1306,558,3071,7,13.0,104.0,195.51999999999998,0.0
1307,558,3058,7,12.0,96.0,9131.52,0.0
1308,558,3079,7,108.0,864.0,82183.68000000001,0.0
1309,558,3067,7,11.0,88.0,8370.560000000001,0.0
1310,558,3055,7,19.0,342.0,2777.04,0.0
1311,558,3052,7,38.0,304.0,28916.480000000003,0.0
1312,558,3057,7,21.0,252.0,15981.84,0.0
1313,558,3084,7,434.0,5208.0,9114.0,0.0
1314,558,3077,7,603.0,7236.0,458907.12,0.0
1315,558,3059,7,61.0,732.0,46423.439999999995,0.0
1316,558,3086,7,61.0,732.0,1281.0,0.0
1317,558,3068,7,92.0,736.0,1383.6799999999998,0.0
1318,558,3078,7,135.0,1620.0,102740.4,0.0
1319,558,3085,7,135.0,1620.0,4050.0,0.0
1320,564,1143,7,24.0,960.0,825.5999999999999,0.4363636363636364
1321,564,1142,7,27.0,1080.0,928.8,0.4909090909090909
1322,564,1144,7,51.0,2040.0,1754.3999999999999,0.9272727272727272
1323,564,1146,7,19.0,760.0,653.6,0.34545454545454546
1324,564,1147,7,11.0,440.0,378.4,0.2
1325,564,1145,7,42.0,1680.0,1444.8,0.7636363636363637
1326,564,1148,7,24.0,960.0,825.5999999999999,0.4363636363636364
1327,589,3282,7,24.0,9792.0,161763.84,0.0
1328,589,3278,7,16.0,768.0,10152.960000000001,0.0
1329,589,3280,7,8.0,384.0,10152.960000000001,0.0
1330,589,5722,7,46.0,276.0,11500.0,0.0
1331,608,4590,7,34.0,1360.0,5100.0,0.0
1332,608,4596,7,34.0,1360.0,2380.0,0.0
1333,608,4592,7,57.0,7980.0,13645.800000000001,0.0
1334,608,4597,7,57.0,7980.0,22423.800000000003,0.0
1335,608,4589,7,12.0,480.0,9129.599999999999,0.0
1336,608,4595,7,12.0,480.0,840.0,0.0
1337,613,4237,7,30.0,240.0,3134.4,17.857142857142858
1338,613,4238,7,30.0,240.0,1651.2,17.857142857142858
1339,613,4319,7,3.0,60.0,412.5523809523807,1.7857142857142856
