id_curso_perfil,tipo,area_familia,especialidad_sector,curso_perfil,modalidad,carga_horaria,costo
197,curso,artes y artesanía,peluquería y belleza barbería y estilismo,manicure y pedicure,presencial,40,75.19999999999999
198,curso,artes y artesanía,peluquería y belleza barbería y estilismo,manicura y pedicura,presencial,92,7.36
199,curso,procesos industriales,textil,corte y confección,presencial,216,23.76
200,curso,procesos industriales,textil,diseño de modas,presencial,216,4108.32
201,curso,artes y artesanía,cosmetología,masajes profesionales,presencial,92,1331.24
202,curso,artes y artesanía,peluquería y belleza barbería y estilismo,asesoría de imagen,presencial,92,1749.84
203,curso,artes y artesanía,peluquería y belleza barbería y estilismo,maquillaje social y correctivo,presencial,92,148.12
204,curso,educación y capacitación,idiomas,nivel básico a1 - ingles,presencial,96,44.160000000000004
205,curso,educación y capacitación,idiomas,nivel básico a2 - ingles,presencial,96,44.160000000000004
206,curso,educación y capacitación,idiomas,nivel intermedio b1 - ingles,presencial,100,46.0
207,curso,educación y capacitación,idiomas,nivel intermedio b2 - ingles,presencial,100,46.0
208,curso,educación y capacitación,idiomas,nivel avanzado c1 - ingles,presencial,120,429.6
209,curso,educación y capacitación,idiomas,nivel básico a1 - francés,presencial,96,44.160000000000004
210,curso,educación y capacitación,idiomas,nivel básico a2 - francés,presencial,96,44.160000000000004
211,curso,educación y capacitación,idiomas,nivel intermedio b1 - francés,presencial,100,46.0
212,curso,educación y capacitación,idiomas,nivel intermedio b2 - francés,presencial,100,46.0
213,curso,educación y capacitación,idiomas,nivel avanzado c1 - francés,presencial,120,429.6
214,curso,educación y capacitación,idiomas,nivel básico a1 - ingles,virtual,96,280.32
215,curso,educación y capacitación,idiomas,nivel básico a2 - ingles,virtual,96,280.32
216,curso,educación y capacitación,idiomas,nivel intermedio b1 - ingles,virtual,100,292.0
217,curso,educación y capacitación,idiomas,nivel intermedio b2 - ingles,virtual,100,292.0
218,curso,educación y capacitación,idiomas,nivel avanzado c1 - ingles,virtual,120,69.6
219,curso,educación y capacitación,idiomas,nivel básico a1 - francés,virtual,96,162.24
220,curso,educación y capacitación,idiomas,nivel básico a2 - francés,virtual,96,162.24
221,curso,educación y capacitación,idiomas,nivel intermedio b1 - francés,virtual,100,169.0
222,curso,educación y capacitación,idiomas,nivel intermedio b2 - francés,virtual,100,169.0
223,curso,educación y capacitación,idiomas,nivel avanzado c1 - francesa,virtual,120,69.6
224,curso,alimentación gastronomía y turismo,elaboración tecnología y producción de alimentos,obtención de notificación sanitaria y manejo de ecuapass,semipresencial,40,70.0
225,curso,administración y legislación,gestión de la calidad,auditoría interna bpm (buenas prácticas de manufactura) - haccp (análisis de peligros y puntos críticos de control) - iso 22000 (sistema de certificación en inocuidad alimentaria),semipresencial,40,111.6
226,curso,alimentación gastronomía y turismo,elaboración tecnología y producción de alimentos,"innovación y desarrollo de nuevos productos, aditivos alimentarios, etiquetado de alimentos y análisis sensorial",semipresencial,30,290.1
227,curso,alimentación gastronomía y turismo,elaboración tecnología y producción de alimentos,"innovación y desarrollo de nuevos productos, aditivos alimentarios y etiquetado de alimentos",virtual,20,104.39999999999999
228,curso,administración y legislación,gestión de la calidad,auditoría interna bpm (buenas prácticas de manufactura) - haccp (análisis de peligros y puntos críticos de control) - fssc 22000 (sistema de certificación en inocuidad alimentaria),virtual,20,137.51746031746023
229,curso,administración y legislación,gestión de la calidad,auditoría interna bpm (buenas prácticas de manufactura) - haccp (análisis de peligros y puntos críticos de control),virtual,20,137.51746031746023
230,curso,alimentación gastronomía y turismo,elaboración tecnología y producción de alimentos,obtención de notificación sanitaria y manejo de ecuapass,virtual,20,104.39999999999999
231,curso,administración y legislación,administración contable y de costos,formación tributaria,virtual,60,225.0
232,curso,administración y legislación,gestión del talento humano,formación laboral,virtual,60,168.6
233,curso,administración y legislación,administración contable y de costos,formación financiera,virtual,60,168.6
234,curso,alimentación gastronomía y turismo,cocina nacional e internacional,cocina y gastronomia,presencial,160,5288.0
235,curso,alimentación gastronomía y turismo,panadería y pastelería,panaderia y pasteleria,presencial,80,230.39999999999998
236,curso,procesos industriales,textil,diseño corte y confección,presencial,160,3524.8
237,curso,artes y artesanía,peluquería y belleza barbería y estilismo,belleza y peluqueria,presencial,400,7292.0
238,curso,artes y artesanía,peluquería y belleza barbería y estilismo,peluqueria y barberia,presencial,100,313.0
239,curso,administración y legislación,administración general,contratación y compras públicas,presencial,120,825.1047619047614
240,curso,administración y legislación,administración general,contratación pública para proveedores,presencial,16,110.01396825396819
241,curso,administración y legislación,administración general,fases de la contratación pública,presencial,20,137.51746031746023
242,curso,administración y legislación,administración general,administración de contratos públicos,presencial,16,110.01396825396819
243,curso,administración y legislación,gestión del talento humano,administración del talento humano,presencial,20,137.51746031746023
244,curso,administración y legislación,gestión del talento humano,evaluación de desempeño del talento humano,presencial,20,137.51746031746023
245,curso,administración y legislación,gestión del talento humano,planificación del talento humano,presencial,20,137.51746031746023
246,curso,administración y legislación,gestión del talento humano,integración y trabajo en equipo (team building outdoor),presencial,16,110.01396825396819
247,curso,administración y legislación,gestión del talento humano,manejo del estrés laboral,presencial,8,55.006984126984094
248,curso,administración y legislación,gestión del talento humano,motivación laboral y relaciones humanas,presencial,8,55.006984126984094
249,curso,administración y legislación,gestión del talento humano,ética en la función pública,presencial,8,55.006984126984094
250,curso,administración y legislación,gestión del talento humano,negociación y resolución de conflictos,presencial,8,55.006984126984094
251,curso,administración y legislación,gestión del talento humano,manejo de conflictos y herramientas de comunicación para pacientes y familiares,presencial,8,55.006984126984094
252,curso,administración y legislación,gestión del talento humano,desarrollo de habilidades gerenciales,presencial,16,110.01396825396819
253,curso,administración y legislación,administración contable y de costos,manejo y control de bienes públicos,presencial,16,110.01396825396819
254,curso,administración y legislación,administración contable y de costos,contabilidad gubernamental,presencial,24,165.02095238095228
255,curso,administración y legislación,atención y servicios de oficina,técnicas de archivo y gestión documental,presencial,20,137.51746031746023
256,curso,administración y legislación,atención y servicios de oficina,"imagen, etiqueta y protocolo empresarial",presencial,16,110.01396825396819
257,curso,administración y legislación,atención y servicios de oficina,excelencia en atención al cliente,presencial,8,55.006984126984094
258,curso,administración y legislación,atención y servicios de oficina,oratoria efectiva,presencial,20,137.51746031746023
259,curso,administración y legislación,legislación,proceso de importación para el sector público,presencial,16,110.01396825396819
