id_oec,id_perfil,id_fecha,num_cer,total_horas,total_cursos,volumen_capacitados,total_ganacias,%_asistencia
38.0,,358,4,,2,11,,
38.0,,222,1,,2,8,,
38.0,,510,2,,1,2,,
38.0,,224,2,,1,2,,
38.0,,270,6,,1,6,,
38.0,,513,1,,1,1,,
38.0,,514,1,,1,1,,
38.0,,89,2,,2,14,,
38.0,,516,1,,1,1,,
38.0,,94,1,,1,1,,
38.0,,437,2,,2,6,,
38.0,,519,1,,1,1,,
38.0,,520,1,,1,1,,
38.0,,521,1,,1,1,,
38.0,,522,2,,1,2,,
38.0,,470,2,,2,6,,
38.0,,58,4,,2,18,,
38.0,,479,1,,2,16,,
38.0,,487,1,,2,3,,
38.0,,492,1,,2,10,,
38.0,,494,1,,2,2,,
38.0,,497,1,,2,5,,
38.0,,175,2,,2,4,,
38.0,,506,1,,2,5,,
38.0,686.0,532,9,54.0,1,9,250.0,
38.0,686.0,533,38,228.0,1,38,250.0,
38.0,686.0,534,13,78.0,1,13,250.0,
38.0,686.0,535,1,6.0,1,1,250.0,
38.0,686.0,536,28,168.0,1,28,250.0,
38.0,686.0,537,22,132.0,1,22,250.0,
38.0,686.0,538,17,102.0,1,17,250.0,
38.0,686.0,539,2,12.0,1,2,250.0,
38.0,686.0,540,3,18.0,1,3,250.0,
38.0,686.0,541,4,24.0,1,4,250.0,
38.0,686.0,225,22,132.0,1,22,250.0,
38.0,686.0,226,27,162.0,1,27,250.0,
38.0,686.0,544,5,30.0,1,5,250.0,
38.0,686.0,545,42,252.0,1,42,250.0,
38.0,686.0,546,12,72.0,1,12,250.0,
38.0,686.0,547,10,60.0,1,10,250.0,
38.0,686.0,548,1,6.0,1,1,250.0,
38.0,686.0,549,2,12.0,1,2,250.0,
38.0,686.0,87,1,6.0,1,1,250.0,
38.0,686.0,551,77,462.0,1,77,250.0,
38.0,686.0,552,5,30.0,1,5,250.0,
38.0,686.0,553,74,444.0,1,74,250.0,
38.0,686.0,554,25,150.0,1,25,250.0,
38.0,686.0,555,21,126.0,1,21,250.0,
38.0,686.0,556,1,6.0,1,1,250.0,
38.0,686.0,557,10,60.0,1,10,250.0,
38.0,686.0,558,4,24.0,1,4,250.0,
